title,rank,description,image,projectedJobs,medianSalary,hourlyWage,rent,educationNeeded,link,questionShift,questionIncome,questionTech,questionHealth,questionOralCare,questionEducationNeeded,questionPeople,questionSubject,questionPriority,questionWhere,questionEnvironment,questionHands
Software Developer,1,"Software developers need to be innovative, creative and, of course, technical in order to succeed in this field. They might write new code or fix bugs in code to make it work better.",https://www.usnews.com/dims4/USNEWS/12706ce/2147483647/crop/1335x1335%2B560%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff9%2Ff1%2Fa6174c87479b8222c09903d7651c%2F190219-softwaredevelopers-stock.jpg,"241,500","$103,620",$50,"$1,943",Bachelor's,https://money.usnews.com/careers/best-jobs/software-developer,daytime,boatVacation,true,false,false,bachelors,false,techShop,money,differentOutdoors,false,false
Dentist,2,"From filling cavities to whitening teeth, dentists primarily examine and treat issues involving the mouth, gums and teeth.",https://www.usnews.com/dims4/USNEWS/b97811b/2147483647/thumbnail/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F02%2Fb5%2F1c3123f449aeb8db06f505ec8710%2Fdentist.jpg,"10,400","$151,850",$73,"$2,847",Doctorate,https://money.usnews.com/careers/best-jobs/dentist,daytime,boatVacation,false,true,true,advanced,true,mathScience,money,govMedStore,false,true
Physician Assistant,3,Physician assistants work under doctors to care for the sick or injured by interpreting tests and conducting exams,https://www.usnews.com/dims4/USNEWS/2c1d0b2/2147483647/crop/283x283%2B47%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F2f%2F717d5273c019191e4ba0cee3467a41%2Fjobs-job-photo-119.jpg,"37,000","$108,610",$52,"$2,036",Master's,https://money.usnews.com/careers/best-jobs/physician-assistant,varies,boatVacation,false,true,false,advanced,true,mathScience,money,govMedStore,false,true
Orthodontist,4,"Picture-perfect teeth often start with an orthodontist. Orthodontists focus primarily on the teeth and jaw, including realignment and preserving normal function and appearance.",https://www.usnews.com/dims4/USNEWS/3c6dea2/2147483647/crop/550x550%2B138%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fde%2Fb8%2F386f42664c4f820e29ffd3d71c7d%2F150618-jobprofileorthodontist-stock.jpg,500,"$208,000",$100,"$3,900",Doctorate,https://money.usnews.com/careers/best-jobs/orthodontist,daytime,boatVacation,false,true,true,advanced,true,mathScience,money,govMedStore,false,true
Nurse Practitioner,5,"Nurse practitioners perform a lot of the same duties as physicians; they perform physical exams, order lab tests and analyze results, prescribe medicines and authorize treatments. These professionals usually have a specialty, such as adult and geriatric health, pediatric health or mental health.",https://www.usnews.com/dims4/USNEWS/85dfcb4/2147483647/crop/248x248%2B94%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F10%2F859ec40b8b2f5ab184c47f651941d9%2Fjobs-job-photo-126.jpg,"53,300","$107,030",$51,"$2,007",Master's,https://money.usnews.com/careers/best-jobs/nurse-practitioner,varies,boatVacation,false,true,false,advanced,true,mathScience,money,govMedStore,false,true
Statistician,6,Statistics is the science of using data to make decisions. This is relevant in almost all fields of work and there are many opportunities for employment.,https://www.usnews.com/dims4/USNEWS/6c1b81f/2147483647/thumbnail/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8e%2F43%2F29088ab14427a298771f166b632d%2F171213-analyzedata-stock.jpg,"13,600","$87,780",$42,"$1,646",Master's,https://money.usnews.com/careers/best-jobs/statistician,daytime,house,false,false,false,advanced,false,mathScience,jobLike,office,false,false
Physician,7,Physicians provide preventative care but also treat and diagnose a range of illnesses in their patients. Schooling and competition is intense for all types of doctors but the payoff is high.,https://www.usnews.com/dims4/USNEWS/b0405b9/2147483647/crop/333x333%2B166%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F63%2Fd8a38a6009a78a651368f928829a05%2Fjobs-job-photo-54.jpg,"1,600","$194,500",$94,"$3,647",Doctorate,https://money.usnews.com/careers/best-jobs/physician,daytime,boatVacation,false,true,false,advanced,true,mathScience,money,govMedStore,false,true
Speech-Language Pathologist,8,Those in this profession work to diagnose and treat a variety of speech and language difficulties and can work in a number of settings.,https://www.usnews.com/dims4/USNEWS/df4da4e/2147483647/crop/279x279%2B36%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F65%2F442ef5aa4d6ee9b015e4c9a2067a51%2Fjobs-job-photo-6.jpg,"41,900","$77,510",$37,"$1,453",Master's,https://money.usnews.com/careers/best-jobs/speech-language-pathologist,daytime,house,false,false,false,advanced,true,englishHistory,jobLike,govMedStore,false,false
Oral and Maxillofacial Surgeon,9,"From repairing cleft lips and palates to taking care of impacted teeth, oral and maxillofacial surgeons operate specifically on the mouth, jaws, teeth, gums, neck and head. ",https://www.usnews.com/dims4/USNEWS/f92b58d/2147483647/thumbnail/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fda%2F25%2Fa8b6bfb94f4583dc51e1f68e492b%2F150108-dentistxray-stock.jpg,400,"$208,000",$100,"$3,900",Doctorate,https://money.usnews.com/careers/best-jobs/oral-and-maxillofacial-surgeon,daytime,boatVacation,true,true,true,advanced,true,mathScience,jobLike,govMedStore,false,true
Veterinarian,10,An average day as a veterinarian might include performing surgeries or setting broken bones for animals. One must-have skill is communication. Vets routinely interact with animal owners and support staff. ,https://www.usnews.com/dims4/USNEWS/7b909e8/2147483647/crop/283x283%2B58%2B0/resize/300x300/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0d%2Fecbed865b0649a20ccb739642144c2%2Fjobs-job-photo-96.jpg,"15,600","$93,830",$45,"$1,759",Doctorate,https://money.usnews.com/careers/best-jobs/veterinarian,varies,house,true,true,false,advanced,false,mathScience,jobLike,differentOutdoors,false,true
